YEAR,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS/MINUS,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST_Ratio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS,RAFGM,RAFGA,RAFG%,NRAFGM,NRAFGA,NRAFG%,MRFGM,MRFGA,MRFG%,LC3M,LC3A,LC3%,RC3M,RC3A,RC3%,C3M,C3A,C3%,ATB3M,ATB3A,ATB3%,ORAFGM,ORAFGA,ORAFG%,ONRAFGM,ONRAFGA,ONRAFG%,OMRFGM,OMRFGA,OMRFG%,OLC3M,OLC3A,OLC3%,ORC3M,ORC3A,ORC3%,OC3M,OC3A,OC3%,OATB3M,OATB3A,OATB3%
2021,New York Knicks,72,41,31,0.569,48.4,107,39.4,86.5,45.6,11.8,30,39.2,16.4,20.9,78.4,9.7,35.5,45.1,21.4,12.9,7,5.1,5.4,20.5,17.9,2.3,110.2,107.8,2.4,54.3,1.65,16.3,26.4,73.8,50.5,13.3,52.4,55.9,96.32,50.2,"6,994",15.4,25.7,59.8,6.6,16.6,40,5.7,14.2,40.1,1.8,4.4,41.3,2,4.5,44.4,3.8,8.9,42.8,7.9,21,37.7,16.8,27.8,60.5,5,12.6,40.1,4,10.2,39.6,1.7,4.7,35.9,1.4,4.2,33.9,3.1,8.9,35,8.9,26.7,33.3
2021,Portland Trail Blazers,72,42,30,0.583,48.1,116.1,41.3,91.1,45.3,15.7,40.8,38.5,17.8,21.6,82.3,10.6,33.9,44.5,21.3,11.1,6.9,5,4.6,18.9,19.1,1.8,117.1,115.3,1.8,51.5,1.92,15.9,27.3,73.1,49.5,11.2,54,57.7,98.97,49.3,"7,137",15.6,25.7,60.8,4,10.9,36.9,5.9,13.7,43.2,1.4,3.2,45,1.3,3.9,34.6,2.8,7.1,39.3,12.9,33.6,38.5,17.9,27.8,64.6,5.7,13.9,41.3,5.2,12,43.5,1.9,4.8,40.4,1.9,4.3,45.4,3.9,9,42.8,9,25.4,35.6
2020,Charlotte Hornets,65,23,42,0.354,48.5,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11,31.8,42.8,23.8,14.6,6.6,4.1,5,18.8,20.6,-6.8,105.9,112.8,-7,63.9,1.63,17.7,28,70.6,48.6,15,50.4,53.9,96.24,45.5,"6,317",17.9,30.2,59.2,5.4,15.2,35.3,2,6.3,32,1.6,3.9,40.6,1.3,3.4,37.1,2.9,7.3,39,9.2,26.8,34.4,20.5,31.6,64.9,4.8,11.4,41.8,4.1,9.5,42.7,1.8,4.6,39.1,1.7,4.7,37.2,3.5,9.2,38.1,8.8,25.5,34.5
2020,Dallas Mavericks,75,43,32,0.573,48.5,117,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,12.7,6.1,4.8,4.1,19.5,21.3,4.9,115.9,111.2,4.8,59.2,1.94,17.7,27.5,74,50.9,12.6,54.5,58.1,99.89,52.1,"7,569",16.8,25,67.4,5.6,14.2,39.3,4.1,9.9,41.4,1.6,4,38.9,2.1,4.9,42,3.6,8.9,40.6,11.5,32,36,18.4,29.1,63.3,6,15.2,39.3,5.2,12.4,42.3,1.4,3.6,38.3,1.3,3.3,38.2,2.7,6.9,38.3,9.6,27.8,34.5
2020,Los Angeles Lakers,71,52,19,0.732,48.1,113.4,42.3,88.3,48,11,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,15.2,8.6,6.6,3.7,20.7,21.7,5.8,111.7,106.1,5.6,60,1.67,18,28.3,73.7,51.2,14.9,54.2,57.3,101.2,53.9,"7,211",22,31.9,69,4.4,11.4,38.2,4.9,13.4,36.8,1.9,4.4,44.5,1.6,4.3,36.4,3.5,8.7,40.5,7.5,22.7,33,17.5,28.8,60.9,5.4,13.4,40,4.5,11.6,39.1,1.6,3.9,41.2,1.2,3.2,38.1,2.8,7,39.8,8.8,26.1,33.7
2020,Milwaukee Bucks,73,56,17,0.767,48.2,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,15.1,7.2,5.9,4.5,19.6,21.7,10.1,111.9,102.5,9.4,59.8,1.71,18,24.1,77.5,52.4,14.2,55.2,58.3,105.51,56.2,"7,739",19.5,28.8,67.5,5.2,12.7,40.7,4.9,10.5,46.4,1.7,4.2,39.9,1.5,4.2,37.3,3.2,8.3,38.6,10.5,30.4,34.7,13.4,24.2,55.2,6,16.1,37.1,5.6,14.4,39.3,1.5,4.2,36.5,1.6,4.1,39.2,3.2,8.3,37.8,10.8,30.7,35.2
2020,New York Knicks,66,21,45,0.318,48.4,105.8,40,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12,34.5,46.5,22.1,14.3,7.6,4.7,5,22.2,19.8,-6.5,105.9,112.4,-6.5,55.2,1.54,16,30,74.2,51.3,14.3,50.1,53.1,99.11,46.1,"6,594",18.9,31.2,60.7,5.4,13.8,38.8,6.2,16,38.4,1.3,3.6,35.3,1,2.7,38.3,2.3,6.2,36.6,7.2,22,33,17.1,27,63.4,4.8,12.3,39.2,4.7,11.9,39.1,1.7,3.8,45.3,1.3,3.7,36.9,3.1,7.5,41.2,10.2,27.2,37.5
2020,Portland Trail Blazers,74,35,39,0.473,48.2,115,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,12.8,6.3,6.1,4.9,21.7,20.1,-1.1,113.2,114.3,-1.1,48.8,1.61,15.2,26.6,71.2,49.2,12.6,53.3,57,101.17,48.6,"7,519",16.7,27.7,60.4,5.6,13.3,42.1,7,16.1,43.4,1.3,3.1,42.9,1.5,3.6,41.2,2.8,6.7,42,10.1,27.3,36.9,18.3,30.6,59.6,5.2,13.6,38.4,4.8,12.1,39.3,1.6,3.9,40.2,1.7,4.1,40.2,3.2,8.1,40.2,10.3,27.1,37.9
2019,Charlotte Hornets,82,39,43,0.476,48.4,110.7,40.2,89.8,44.8,11.9,33.9,35.1,18.4,23.1,79.7,9.9,33.9,43.8,23.2,12.2,7.2,4.9,6,18.9,20.6,-1.1,110.7,112,-1.3,57.8,1.9,17,26.8,73.1,49.5,12.2,51.4,55.4,99.18,48.6,"8,202",17.6,29.6,59.4,5.8,14.3,40.9,4.9,12.1,40.6,1.4,3.8,36.7,1.4,3.2,45.4,2.8,7,40.6,9.1,26.5,34.2,19.5,30.4,64.2,5,12.5,39.9,5.3,12.8,41.7,1.6,3.7,41.7,1.6,3.8,41.9,3.1,7.5,41.8,9,25.9,34.6
2019,Dallas Mavericks,82,33,49,0.402,48.2,108.9,38.8,86.9,44.7,12.5,36.6,34,18.8,25.3,74.2,10.1,35.2,45.3,23.4,14.2,6.5,4.3,4.5,20.1,23.2,-1.3,108.7,110.1,-1.5,60.3,1.64,17,27.3,73.4,50.3,14.2,51.9,55.5,99.6,49.2,"8,216",17.1,26.4,65,5.1,13.1,39.1,4.1,10.8,37.9,1.4,3.6,39.5,1.5,3.9,37.5,2.9,7.5,38.5,9.6,28.8,33.3,17.9,27.3,65.7,5.9,14.8,40.1,5.9,14.6,40.2,1.3,3.8,34.8,1.4,3.8,36.8,2.7,7.5,35.8,8.5,24.7,34.4
